nom	annee	n
l'expédition du Challenger	1760	0
l'expédition du Challenger	1770	0
l'expédition du Challenger	1780	0
l'expédition du Challenger	1790	0
l'expédition du Challenger	1800	0
l'expédition du Challenger	1810	0
l'expédition du Challenger	1820	0
l'expédition du Challenger	1830	0
l'expédition du Challenger	1840	0
l'expédition du Challenger	1850	0
l'expédition du Challenger	1860	0
l'expédition du Challenger	1870	82
l'expédition du Challenger	1880	0
l'expédition du Challenger	1890	0
l'expédition du Challenger	1900	0
l'expédition du Challenger	1910	0
l'expédition du Challenger	1920	0
l'expédition du Challenger	1930	0
l'expédition du Challenger	1940	0
l'expédition du Challenger	1950	0
l'expédition du Challenger	1960	0
l'expédition du Challenger	1970	0
l'expédition du Challenger	1980	0
Raymond Rallier du Baty	1760	0
Raymond Rallier du Baty	1770	0
Raymond Rallier du Baty	1780	0
Raymond Rallier du Baty	1790	0
Raymond Rallier du Baty	1800	0
Raymond Rallier du Baty	1810	0
Raymond Rallier du Baty	1820	0
Raymond Rallier du Baty	1830	0
Raymond Rallier du Baty	1840	0
Raymond Rallier du Baty	1850	0
Raymond Rallier du Baty	1860	0
Raymond Rallier du Baty	1870	0
Raymond Rallier du Baty	1880	0
Raymond Rallier du Baty	1890	0
Raymond Rallier du Baty	1900	138
Raymond Rallier du Baty	1910	34
Raymond Rallier du Baty	1920	9
Raymond Rallier du Baty	1930	0
Raymond Rallier du Baty	1940	0
Raymond Rallier du Baty	1950	0
Raymond Rallier du Baty	1960	0
Raymond Rallier du Baty	1970	0
Raymond Rallier du Baty	1980	0
la 16ème mission	1760	0
la 16ème mission	1770	0
la 16ème mission	1780	0
la 16ème mission	1790	0
la 16ème mission	1800	0
la 16ème mission	1810	0
la 16ème mission	1820	0
la 16ème mission	1830	0
la 16ème mission	1840	0
la 16ème mission	1850	0
la 16ème mission	1860	0
la 16ème mission	1870	0
la 16ème mission	1880	0
la 16ème mission	1890	0
la 16ème mission	1900	0
la 16ème mission	1910	0
la 16ème mission	1920	0
la 16ème mission	1930	0
la 16ème mission	1940	0
la 16ème mission	1950	0
la 16ème mission	1960	1
la 16ème mission	1970	0
la 16ème mission	1980	0
les chasseurs anglo-américains	1760	0
les chasseurs anglo-américains	1770	0
les chasseurs anglo-américains	1780	0
les chasseurs anglo-américains	1790	33
les chasseurs anglo-américains	1800	23
les chasseurs anglo-américains	1810	0
les chasseurs anglo-américains	1820	0
les chasseurs anglo-américains	1830	0
les chasseurs anglo-américains	1840	0
les chasseurs anglo-américains	1850	0
les chasseurs anglo-américains	1860	0
les chasseurs anglo-américains	1870	0
les chasseurs anglo-américains	1880	1
les chasseurs anglo-américains	1890	0
les chasseurs anglo-américains	1900	0
les chasseurs anglo-américains	1910	0
les chasseurs anglo-américains	1920	0
les chasseurs anglo-américains	1930	0
les chasseurs anglo-américains	1940	0
les chasseurs anglo-américains	1950	0
les chasseurs anglo-américains	1960	0
les chasseurs anglo-américains	1970	0
les chasseurs anglo-américains	1980	0
Edgar Aubert de la Rüe	1760	0
Edgar Aubert de la Rüe	1770	0
Edgar Aubert de la Rüe	1780	0
Edgar Aubert de la Rüe	1790	0
Edgar Aubert de la Rüe	1800	0
Edgar Aubert de la Rüe	1810	0
Edgar Aubert de la Rüe	1820	0
Edgar Aubert de la Rüe	1830	0
Edgar Aubert de la Rüe	1840	0
Edgar Aubert de la Rüe	1850	0
Edgar Aubert de la Rüe	1860	0
Edgar Aubert de la Rüe	1870	0
Edgar Aubert de la Rüe	1880	0
Edgar Aubert de la Rüe	1890	0
Edgar Aubert de la Rüe	1900	0
Edgar Aubert de la Rüe	1910	0
Edgar Aubert de la Rüe	1920	21
